UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear
Physical,Horizon,BOOK,2013,4,2,Notes of a native son / James Baldwin ; with a new introduction by Edward P. Jones.,,"Baldwin, James, 1924-1987","African Americans Civil rights, African Americans Social conditions To 1964, United States Race relations, Baldwin James 1924 1987","Beacon Press,","[2012], c1955."
Digital,OverDrive,EBOOK,2013,4,1,The Cross of Redemption: Uncollected Writings,,James Baldwin,"Literary Criticism, Nonfiction","Random House, Inc.",2010
Physical,Horizon,BOOK,2013,4,3,If Beale Street could talk : a novel / James Baldwin.,,"Baldwin, James, 1924-1987","African Americans Fiction, Love stories","Vintage International,",2006.
Physical,Horizon,BOOK,2013,4,1,Tell me how long the train's been gone / a novel by James Baldwin.,,"Baldwin, James, 1924-1987","African American actors Fiction, Heart Diseases Patients Fiction, Harlem New York N Y Fiction, Successful people Fiction, Psychological fiction","Vintage International,",1998.
Physical,Horizon,BOOK,2013,4,3,The fire next time / James Baldwin.,,"Baldwin, James, 1924-1987","African Americans, Black Muslims, United States Race relations","Vintage International Vintage Books,",1993.
Digital,OverDrive,EBOOK,2013,4,1,Native Sons: A Friendship That Created One of the Greatest Works of the 20th Century: Notes of a Native Son,,James Baldwin,"Biography & Autobiography, Nonfiction","Random House, Inc.",2012
Physical,Horizon,BOOK,2013,4,1,No name in the street / James Baldwin.,,"Baldwin, James, 1924-1987","African Americans Social conditions 1964 1975, United States Race relations History 20th century, Baldwin James 1924 1987","Vintage Books,",c2000.
Physical,Horizon,BOOK,2013,4,1,"The price of the ticket : collected nonfiction, 1948-1985 / James Baldwin.",,"Baldwin, James, 1924-1987",,"St. Martin's/Marek,",c1985.
Physical,Horizon,BOOK,2013,4,2,Early novels and stories / James Baldwin.,,"Baldwin, James, 1924-1987",,"Library of America,",1998.
Digital,OverDrive,AUDIOBOOK,2013,4,1,Fifty Famous Stories Retold (Unabridged),,James Baldwin,"Fiction, Historical Fiction, Short Stories",CoolBeat Audiobooks,2013
