quote,text,tweet_type,date
fire next time,#Ferguson 'the fire next time ' James Baldwin.,original,2014-11-25 08:59:13+00:00
fire next time,"#Ferguson protests: Not quite what James Baldwin meant with ""The Fire Next Time?"", right? @CNNLive",original,2014-11-26 04:00:40+00:00
fire next time,"2night discussion abt 'The fire next time' #JamesBaldwin powerful n controversial, still! #BlackLivesMatter @SkinMedicUK @BeautyCupid",original,2015-05-30 08:43:05+00:00
fire next time,"#thefirenexttime james Baldwin tried to warn us smh RT @CNN: The FAA no-fly zone over #Ferguson was not meant to ban media, police (1/2)",original,2014-11-05 01:08:40+00:00
force the world,"""You have to decide who you are, and force the world to deal with you, not with its idea of you"", #JamesBaldwin, because #BlackLivesMatter",original,2014-12-07 22:54:45+00:00
freedom is not,"James Baldwin be knowing:  ""Freedom is not something that anybody can be given. Freedom is something people take."" #Ferguson #America",original,2014-08-11 04:42:46+00:00
freedom is not,Freedom is not something that anybody can be given-Freedom is something ppl take&ppl r as free as they want to be. James Baldwin #Ferguson,original,2014-08-19 01:22:16+00:00
freedom is not,James Baldwin left for France because he didn't feel safe in his own country. Wonder why? #Ferguson http://t.co/1v1gXjvPH0,original,2014-11-28 04:25:57+00:00
gesture can blow up,"#Ferguson #FergusonDecision James Baldwin: ""a gesture can blow up a town"" http://t.co/WEXeerFWvh",original,2014-11-26 15:53:27+00:00
gesture can blow up,"#BlackLivesMatter #theworldisnotwhite James Baldwin: ""a gesture can blow up a town"" http://t.co/WEXeerFWvh",original,2014-12-06 12:59:17+00:00
guilt is a luxury,"""please take note. i'm not interested in anybody's guilt. guilt is a luxury that we can no longer afford..."" #JamesBaldwin #Ferguson",original,2014-11-25 07:22:54+00:00
hatred which could destroy so much,"""Hatred, which could destroy so much, never failed to destroy the man who hated, and this was an immutable law."" --James Baldwin #Ferguson",original,2014-11-27 01:02:15+00:00
heave and earth,#BaltimoreUprising #Baltimore #BlackLivesMatter #JamesBaldwin http://t.co/uMcTlzw5jZ,original,2015-04-29 13:26:39+00:00
hoard its malice,"racism can hoard its malice… but understanding comes' James Baldwin, a Swiss village, & #Ferguson http://t.co/kjrldNMkwn stunning @tejucole",original,2014-08-20 21:37:37+00:00
how are you going to save yourselves,"""It doesn't matter what you're going to do to me. The question is, how are you going to save yourselves?""--James Baldwin      #WalterScott",original,2015-04-14 02:44:03+00:00
how are you going to save yourselves,“It doesn’t matter any longer what you do to me … the question now is how are you going to save yourselves?” — James Baldwin #FreddieGray,original,2015-04-28 05:37:35+00:00
how fast I become white,"""The American idea of racial progress is measured by how fast I become white"" -James Baldwin #Ferguson #BlackLivesMatter #NoJusticeNoPeace",original,2014-11-25 07:00:24+00:00
how fast I become white,"""The American idea of racial progress is measured by how fast I become white."" James Baldwin #Ferguson Via @ZahirJ #race  #Ferguson",original,2014-11-25 18:09:24+00:00
how much time do you want for your progress,"But I ask, as James Baldwin once asked, “How much time do you want, for your progress?”  http://t.co/xndKYfehwE via @KosherSoul #Ferguson",original,2014-08-19 12:36:02+00:00
I am an American too,"""Now I'm here too. I am an American too. I would like to see this peculiar dialogue ended"" - James Baldwin #Ferguson #JusticeForMikeBrown",original,2014-08-20 08:39:03+00:00
i can't believe what you say,"""I can't believe what you say, because I see what you do""--James Baldwin #Ferguson",original,2014-11-25 02:33:57+00:00
i can't believe what you say,"“I can't believe what you say, because I see what you do.” - James Baldwin, #moralmonday #Ferguson http://t.co/aaBqGhxLKw",original,2014-08-25 15:18:46+00:00
i can't believe what you say,"""I can't believe what you say, because I see what you do."" - James Baldwin   #EricGarner",original,2014-12-03 21:57:36+00:00
i can't believe what you say,"RT @MargoRabb: ""I can't believe what you say, because I see what you do""--James Baldwin #Ferguson",original,2014-11-25 02:37:24+00:00
i can't believe what you say,"""I can't believe what you say, because I see what you do."" #jamesbaldwin #blacklivesmatter",original,2014-12-22 19:28:10+00:00
i can't believe what you say,"""I can't believe what you say, because I see what you do"" #JamesBaldwin #ferguson #antoniomartin #Berkeley #mikebrown #ericgarner #tamirrice",original,2014-12-24 08:52:14+00:00
i can't believe what you say,"“I can't believe what you say, because I see what you do.” - James Baldwin #BlackLivesMatter",original,2014-11-25 03:47:52+00:00
i can't believe what you say,"""I can't believe what you say, cause I see what you do."" - James Baldwin #BlackLivesMatter",original,2014-11-29 08:57:24+00:00
i can't believe what you say,"""'I can't believe what you say,' the song goes, 'because I see what you do.'"" -#jamesbaldwin #ericgarner @jeffchu",original,2014-12-04 13:53:08+00:00
idealism which you assure me exists,"ON SOME IDEALISM WHICH YOU ASSURE ME EXISTS IN AMERICA WHICH I HAVE NEVER SEEN."" -James Baldwin #Ferguson",original,2014-11-25 05:25:33+00:00
if I am not who you say,"#Ferguson If I am not who you say I am, then you (white America) are not who you think you are.~ James Baldwin #p2",original,2014-10-11 22:58:01+00:00
if I am not who you say,".Attention Bigots and racists: If I am not who you say I am, then you're not who you think you are.~James Baldwin.#Ferguson",original,2014-08-17 21:47:21+00:00
if i love you,"If I love you, I have to make you conscious of the things you don't see- #jamesbaldwin #BlackLivesMatter http://t.co/swShEyQ7fQ",original,2014-12-23 08:02:45+00:00
if i love you,"If I love you, I have to make you conscious of the things you don't see. – James Baldwin #blacklivesmatter #IWontKeepSilent",original,2015-05-29 01:35:15+00:00
if i love you,If I love you I have to make you conscious of the things that you do not see -James Baldwin #BlackLivesMatter,original,2014-12-26 23:42:59+00:00
if i love you,"#Blacklivesmatter ""If I love you I have to make you conscious of things you do not see"" James Baldwin",original,2014-12-04 02:57:21+00:00
if i love you,"""If I love you, I have to make you conscious of the things you don't see.""  --James Baldwin #BlackLivesMatter #MindfulnessIsLove #StayWoke",original,2014-12-14 01:21:44+00:00
if i love you,"“If I love you, I have to make you conscious of the things you do not see.” James Baldwin  #BlackLivesMatter",original,2014-12-09 17:00:54+00:00
if i love you,"If I love you, I have to make you conscious of the things you don’t see. James Baldwin #BlackLivesMatter",original,2014-12-01 05:38:44+00:00
if i love you,"""If I love you, I have to make you conscious of the things you do not see."" -James Baldwin #America #BlackLivesMatter",original,2014-11-26 14:45:54+00:00
