UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,Creator,Subjects,Publisher,PublicationYear
Digital,OverDrive,AUDIOBOOK,2019,8,23,Giovanni's Room (Unabridged),James Baldwin,"Classic Literature, Fiction","Blackstone Audio, Inc.",2013
Digital,OverDrive,EBOOK,2019,8,17,The Fire Next Time,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2019,8,18,The Fire Next Time (Unabridged),James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Blackstone Audio, Inc.",2008
Physical,Horizon,BOOK,2019,8,23,If Beale Street Could Talk,James Baldwin,"African Americans Fiction, Love stories","Vintage International,",2006
Digital,OverDrive,EBOOK,2019,8,32,If Beale Street Could Talk,James Baldwin,"Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2019,8,40,If Beale Street Could Talk (Unabridged),James Baldwin,"Classic Literature, Fiction, Literature","Blackstone Audio, Inc.",2018
Physical,Horizon,BOOK,2019,8,17,The Fire Next Time,James Baldwin,"African Americans, Black Muslims, United States Race relations","Vintage International Vintage Books,",1993
Digital,OverDrive,AUDIOBOOK,2019,9,40,If Beale Street Could Talk (Unabridged),James Baldwin,"Classic Literature, Fiction, Literature","Blackstone Audio, Inc.",2018
Digital,OverDrive,EBOOK,2019,9,15,The Fire Next Time,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Physical,Horizon,BOOK,2019,9,18,The Fire Next Time,James Baldwin,"African Americans, Black Muslims, United States Race relations","Vintage International Vintage Books,",1993
Digital,OverDrive,AUDIOBOOK,2019,9,18,Giovanni's Room (Unabridged),James Baldwin,"Classic Literature, Fiction","Blackstone Audio, Inc.",2013
Digital,OverDrive,EBOOK,2019,9,22,If Beale Street Could Talk,James Baldwin,"Fiction, Literature","Random House, Inc.",2013
Physical,Horizon,BOOK,2019,9,15,If Beale Street Could Talk,James Baldwin,"African Americans Fiction, Love stories","Vintage International,",2006
Digital,OverDrive,AUDIOBOOK,2019,10,16,The Fire Next Time (Unabridged),James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Blackstone Audio, Inc.",2008
Physical,Horizon,BOOK,2019,10,18,If Beale Street Could Talk,James Baldwin,"African Americans Fiction, Love stories","Vintage International,",2006
Digital,OverDrive,AUDIOBOOK,2019,10,42,If Beale Street Could Talk (Unabridged),James Baldwin,"Classic Literature, Fiction, Literature","Blackstone Audio, Inc.",2018
Physical,Horizon,BOOK,2019,10,15,The Fire Next Time,James Baldwin,"African Americans, Black Muslims, United States Race relations","Vintage International Vintage Books,",1993
Digital,OverDrive,EBOOK,2019,10,19,The Fire Next Time,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2019,10,16,Giovanni's Room (Unabridged),James Baldwin,"Classic Literature, Fiction","Blackstone Audio, Inc.",2013
Digital,OverDrive,EBOOK,2019,10,18,If Beale Street Could Talk,James Baldwin,"Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,EBOOK,2019,11,19,If Beale Street Could Talk,James Baldwin,"Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2019,11,40,If Beale Street Could Talk (Unabridged),James Baldwin,"Classic Literature, Fiction, Literature","Blackstone Audio, Inc.",2018
Physical,Horizon,BOOK,2019,12,17,If Beale Street Could Talk,James Baldwin,"African Americans Fiction, Love stories","Vintage International,",2006
Digital,OverDrive,EBOOK,2019,12,18,If Beale Street Could Talk,James Baldwin,"Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2019,12,33,If Beale Street Could Talk (Unabridged),James Baldwin,"Classic Literature, Fiction, Literature","Blackstone Audio, Inc.",2018
Digital,OverDrive,EBOOK,2019,12,17,The Fire Next Time,James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Random House, Inc.",2013
Physical,Horizon,BOOK,2019,12,19,The Fire Next Time,James Baldwin,"African Americans, Black Muslims, United States Race relations","Vintage International Vintage Books,",1993
Digital,OverDrive,AUDIOBOOK,2019,12,16,The Fire Next Time (Unabridged),James Baldwin,"African American Nonfiction, Nonfiction, Sociology","Blackstone Audio, Inc.",2008
Digital,OverDrive,AUDIOBOOK,2019,12,17,Giovanni's Room (Unabridged),James Baldwin,"Classic Literature, Fiction","Blackstone Audio, Inc.",2013
Digital,OverDrive,EBOOK,2020,1,22,If Beale Street Could Talk,James Baldwin,"Fiction, Literature","Random House, Inc.",2013
Digital,OverDrive,AUDIOBOOK,2020,1,28,Giovanni's Room (Unabridged),James Baldwin,"Classic Literature, Fiction","Blackstone Audio, Inc.",2013
Physical,Horizon,BOOK,2020,1,21,If Beale Street Could Talk,James Baldwin,"African Americans Fiction, Love stories","Vintage International,",2006
Physical,Horizon,BOOK,2020,1,16,The Fire Next Time,James Baldwin,"African Americans, Black Muslims, United States Race relations","Vintage International Vintage Books,",1993
